book,div_id,div_sort,div_txt,title_txt
atb-book-of-remembrances,div-001,1,"A Book of Remembrances of All the Remarkable Deliverances of Myself, Husband and Children, with Their Births and Other Remarks as Concerning Myself and Family, Beginning from the Year 1625 ATW",
atb-book-of-remembrances,div-002,2,"Alice Wandesford, the fifth child of Christopher Wandesford esquire and late Lord Deputy of Ireland, was born at Kirklington, the thirteenth day of February, being Monday, about two of the clock in the afternoon in the year 1625. Baptised the next day. Witnesses: Mr Lascelles, minister of Kirklington, Mrs Anne Norton and Mrs Best.",
atb-book-of-remembrances,div-003,3,"Lord, guide my heart, and give my soul direction, Subdue my passions, curb my stout affections, Nip thou the bud, before the bloom begins: Lord, the ever one, keep me from presumptuous sins. Lord, lead me by thy hand into thy rest, And make me to choose what thou seest best.",
atb-book-of-remembrances,div-004,4,"Dedication I'll dedicate my soul unto my God: My childhood, nonage, youth is by his rod To be directed; his staff to uphold My age and riper years 'til it has told The gracious goodness of our blessed God. What he has done for me and by his word Raised my drooping spirits often times, Pardoned my sins, delivered me from crimes, And by his bloodshed purchased heaven, For humblest souls his grace has given. Then on, my soul, do not decline This heavenly pilgrimage divine. Rise up, my heart, to heaven above And let thy Lord now prove thy love. Spring up amain and let his holy spirit Give thee a crown of glory to inherit. Then fly apace, stay not behind; For to be drove by every wind And trifling, childish, foolish toys To interrupt thy lasting solid joys, Which are ever living, never ending, Where are pleasures worth commending.",Dedication
atb-book-of-remembrances,div-005,5,"Prayer Then guide my heart, Lord, give my soul direction, Subdue my passions, curb my stout affections, Nip thou the bud, before the bloom begins: Lord, ever keep me from presumptuous sins. And make me choose what thou seest best, Lord, lead me by thy hand into thy rest. Amen.",Prayer
atb-book-of-remembrances,div-006,6,"Observations These things be comely and pleasant to see, and worthy of honour from the beholders: a young saint; an old martyr; a religious soldier; a conscionable statesman; a great man courteous; a learned man humble; a silent woman; a child understanding the eye of his parent; a merry companion without vanity; a friend not changed with honour; a sick man cheerful; and a departing soul with comfort and assurance.",Observations
atb-book-of-remembrances,div-007,7,"Prayer Lord, lead me through the Red Sea of this world into the land of promise. Forget my many iniquities, pardon my sins, which standeth as a cloud between thy most gracious goodness and my most extreme misery. For our Lord Jesus Christ, his sake. Amen.",Prayer
atb-book-of-remembrances,div-008,8,"Forasmuch as it is the duty of every true Christian to take notice of Almighty God our Father's gracious dealings with them from the womb, until the grave bury them in silence, and to keep particular remembrances of his remarkable deliverances of their souls and bodies, with a true and unfeigned gratitude to his majesty: I, therefore, humbly desire to furnish my heart with the deep thoughts of his love, mercies and inconceivable goodness to me, his poor creature, even from the first beginning of my days. And, with a thankful heart, do return him the glory for my birth, baptism in the most holy name of God and education in that true faith by my pious and religious parents, who instilled the principles of his grace into me with my milk. And, therefore, shall begin with the first mention of my deliverances, since my first knowledge and remembrance, most worthy of a perpetual memory, which I hope shall not end with this life but spring up to an eternity of hallelujahs of praise to all eternity. Amen.",
atb-book-of-remembrances,div-009,9,"When I was left at Richmond under the care and dear love of my beloved and gracious aunt Norton, upon my father's going to London, it pleased God to bring me into a very great weakness and sickness upon the accident of a surfeit on some ill digested meat, causing an extreme vomiting, whose violence drove me into a fever and the measles, which brought me so low that my aunt and Sarah Tomlinson, our maid, almost despaired of my life. But it pleased the Lord in great mercy, upon the hearty prayers and requests of my dear aunt, that I was spared and, upon the use of good means by his blessing thereon, I recovered my health perfectly again. Oh, that I may have my life given me for a blessing and that I may live to the praise of his holy name: growing in grace and the knowledge of our Lord Jesus Christ, being a comfort to my dear parents and relations. And that I may dedicate my childhood, youth, middle age and old age, if God shall spare me so long, to his glory and praise even to my life's end, amen. And that for my saviour's sake alone, the alpha and omega. Amen.",
atb-book-of-remembrances,div-010,10,"Being removed from Richmond to London, by my father's and mother's order to be with them, I fell into the smallpox, having taken them of my brother, Christopher. We were both sent into Kent with Sarah, to one Mr Baxter's house, where we were being much beloved and taken care for by them. And by the blessing of God, I recovered very soon, nor was I very ill at that time in them. I will praise the Lord our God for my preservation and deliverance that did not suffer that disease to rage and endanger my life but raised me soon to my parents again. Oh, let me speak good of the name of the Lord and magnify his goodness for myself and my brother.",
