order_id,to_place,to_county,city,country,img,link_exam_id,src_id,lat,lng,place_add,place,county,src,problem
WCCDRV36900_0078,St Giles in the Fields,London,Westminster,England,WCCDRV369000052,WCCDEP358110113,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0080,St Martin in the Fields,London,Westminster,England,WCCDRV369000053,WCCDEP358110120,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0083,St Anne Limehouse,London,,England,WCCDRV369000054,WCCDEP358110122,ID_30176,51.5132337647528,-0.0316687217116382,,st anne limehouse,middlesex,llp,
WCCDRV36900_0084,St Anne Soho,London,Westminster,England,WCCDRV369000054,WCCDEP358110124,ID_30023,51.5135027003465,-0.131408717898808,,st anne soho,middlesex,llp,
WCCDRV36900_0082,St Dionis Backchurch,London,,England,WCCDRV369000054,WCCDEP358110121,ID_30139,51.511837248325,-0.0834416076428311,,st dionis backchurch,middlesex,llp,
WCCDRV36900_0086,St Mary le Strand,London,Westminster,England,WCCDRV369000055,WCCDEP358110119,ID_30035,51.5108834633427,-0.116940334258505,,st mary le strand,middlesex,llp,
WCCDRV36900_0090,St Giles in the Fields,London,Westminster,England,WCCDRV369000056,WCCDEP358110130,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0096,St Pancras Middlesex,London,,England,WCCDRV369000058,WCCDEP358110142,ID_127871,51.5265171041215,-0.131657497186396,,st pancras middlesex,middlesex,llp,
WCCDRV36900_0095,Liberty of the Savoy,London,,England,WCCDRV369000058,WCCDEP358110139,ID_30033,51.5099178121184,-0.118625833985384,Precinct of the Savoy,liberty of the savoy,middlesex,llp,
WCCDRV36900_0098,Liberty of the Rolls,London,,England,WCCDRV369000059,WCCDEP358110155,ID_30036,51.5154273321053,-0.111635223492053,,liberty of the rolls,middlesex,llp,
WCCDRV36900_0099,St Giles in the Fields,London,Westminster,England,WCCDRV369000059,WCCDEP358110161,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0097,St Giles in the Fields,London,Westminster,England,WCCDRV369000059,WCCDEP358110145,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0101,St Botolph Aldersgate,London,,England,WCCDRV369000060,WCCDEP358110170,ID_30061,51.5186592691859,-0.0972733561497866,,st botolph aldersgate,middlesex,llp,
WCCDRV36900_0102,St Andrew Holborn,London,,England,WCCDRV369000060,WCCDEP358110179,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0110,St Saviour Southwark,Surrey,Southwark,England,WCCDRV369000063,WCCDEP358110160,ID_30001,51.5058992332803,-0.0954565372019753,,st saviour southwark,surrey,llp,
WCCDRV36900_0108,St Margaret Westminster,London,Westminster,England,WCCDRV369000063,WCCDEP358110152,ID_127869,51.5000124214514,-0.132021851098109,,st margaret westminster,middlesex,llp,
