key,doc_count,kill,royalOffences,sexual,theft,violentTheft,breakingPeace,damage,deception,miscellaneous
1674,36,5,2,2,25,3,0,0,0,0
1675,50,10,2,2,26,8,3,1,1,2
1676,86,16,2,6,55,3,0,1,1,2
1677,83,22,6,5,43,5,1,0,0,2
1678,123,19,11,9,76,6,1,0,0,1
1679,114,24,12,2,65,9,2,4,0,1
1680,109,19,14,2,71,5,0,1,0,3
1681,128,24,6,5,87,6,0,0,0,0
1682,157,20,3,4,124,6,1,0,0,0
1683,201,36,17,6,133,9,2,0,0,1
1684,306,39,26,5,214,12,3,0,5,7
1685,357,35,21,6,280,9,0,0,4,4
1686,302,36,20,5,225,8,1,0,5,3
1687,391,30,43,7,289,9,4,4,3,4
1688,278,47,22,3,194,8,4,0,1,1
1689,281,41,11,6,196,17,2,2,3,4
1690,322,36,20,3,238,12,3,1,4,8
1691,285,36,23,1,201,20,1,1,4,2
1692,248,23,25,5,180,14,0,0,1,0
1693,466,28,79,8,314,22,5,0,3,7
1694,319,23,43,8,221,19,0,0,8,3
1695,340,22,94,2,185,19,5,0,9,8
1696,321,25,69,2,192,14,0,0,13,8
1697,310,18,40,4,215,19,4,0,9,4
1698,349,25,19,4,273,21,1,0,7,1
1699,181,5,7,5,150,6,0,0,8,1
1700,124,3,4,2,103,8,0,0,2,4
1701,0,0,0,0,0,0,0,0,0,0
1702,69,3,3,3,60,0,0,0,0,0
1703,72,5,4,4,54,2,1,0,2,0
1704,117,9,3,3,95,5,0,0,2,0
1705,0,0,0,0,0,0,0,0,0,0
1706,1,0,0,1,0,0,0,0,0,0
1707,164,10,1,11,136,2,1,2,2,0
1708,166,18,4,5,129,3,2,0,4,1
1709,99,8,0,1,86,3,0,1,1,0
1710,174,6,7,4,151,3,1,0,1,1
1711,167,9,0,1,146,8,0,0,4,1
1712,169,6,1,0,147,2,0,0,10,3
1713,113,4,1,3,98,5,0,0,4,0
1714,285,19,7,5,239,12,0,0,5,1
1715,469,22,5,15,385,22,3,0,16,1
1716,416,11,16,7,338,29,3,1,16,1
1717,404,15,5,6,331,31,2,0,16,2
1718,409,24,14,10,336,27,2,0,4,0
1719,393,20,5,7,321,27,4,0,8,6
1720,408,19,3,11,322,33,3,3,6,8
1721,489,27,5,12,384,43,1,0,14,12
1722,435,23,2,10,340,47,4,0,15,3
1723,424,19,0,13,358,18,1,3,13,4
1724,531,15,6,11,460,20,6,1,14,2
1725,604,17,6,6,531,27,4,0,11,7
1726,522,20,1,19,444,24,1,1,10,9
1727,456,18,3,14,383,18,4,0,13,5
1728,485,12,1,14,399,42,0,0,12,7
1729,562,12,2,10,490,28,1,2,13,5
1730,554,11,1,21,455,54,0,0,7,4
1731,517,17,1,12,436,39,0,2,11,2
1732,478,17,1,8,393,46,1,1,14,3
1733,441,13,2,6,374,35,0,0,14,2
1734,411,19,3,4,355,22,1,1,6,1
1735,529,19,2,18,441,41,2,1,11,4
1736,489,10,0,8,433,29,3,1,9,2
1737,436,23,2,7,367,28,1,1,11,4
1738,358,12,4,5,301,30,0,0,9,0
1739,459,9,3,7,398,31,1,0,7,4
1740,440,11,0,10,385,28,0,0,6,1
1741,499,14,0,5,437,37,1,0,4,2
1742,392,17,2,8,325,25,0,0,14,0
1743,447,15,5,6,375,33,3,0,8,3
1744,383,13,1,3,303,46,2,0,14,3
1745,300,12,3,4,246,23,1,1,9,1
1746,348,10,5,2,300,19,2,0,6,4
1747,355,12,11,6,309,14,0,0,2,1
1748,481,9,15,6,421,20,2,0,8,3
1749,577,6,10,9,478,57,4,0,13,4
1750,539,13,11,8,414,67,1,0,16,7
1751,499,10,13,6,385,42,1,0,32,11
1752,456,24,3,7,361,31,0,0,23,10
1753,460,12,2,8,374,40,0,0,14,11
1754,436,14,0,8,368,25,0,0,19,5
1755,353,10,1,4,304,20,3,0,10,5
1756,365,15,2,3,314,15,1,0,11,5
1757,354,5,2,7,302,16,0,1,15,7
1758,321,3,5,3,270,13,1,0,24,3
1759,274,7,0,2,232,10,1,0,21,2
1760,283,15,1,1,252,7,0,0,10,0
1761,325,19,3,4,275,8,0,1,16,0
1762,291,9,0,5,252,10,1,1,13,1
1763,417,7,0,3,338,41,3,3,25,2
1764,523,7,1,5,467,30,1,0,13,2
1765,426,7,0,3,375,17,3,2,18,4
1766,464,8,4,7,404,21,2,0,19,2
1767,486,8,3,4,438,20,1,0,14,1
1768,496,16,0,8,426,23,7,1,14,3
1769,495,10,2,5,417,31,3,3,25,3
1770,532,16,3,4,461,39,2,2,6,3
1771,640,12,6,7,564,34,1,2,15,4
1772,661,5,5,11,544,65,3,1,23,12
1773,673,6,8,3,583,44,4,3,20,6
1774,673,8,9,5,587,49,2,0,15,9
1775,617,8,12,6,511,46,3,0,21,12
1776,608,11,9,6,495,60,2,3,16,9
1777,600,12,2,8,530,28,1,0,13,6
1778,608,16,8,4,506,43,7,0,17,10
1779,381,9,13,9,299,29,2,3,14,4
1780,534,4,12,2,394,44,70,5,2,3
1781,528,7,11,1,434,59,3,1,10,3
1782,625,10,21,1,512,57,2,2,15,8
1783,885,6,15,1,704,96,3,1,27,34
1784,1056,16,15,1,859,100,3,3,48,13
1785,916,3,12,7,760,71,1,1,42,21
1786,932,16,17,6,766,79,4,2,36,6
1787,826,12,16,7,692,63,1,1,32,3
1788,741,6,23,2,626,49,2,1,26,8
1789,851,8,11,7,717,78,2,2,21,7
1790,723,9,17,11,602,45,3,3,25,9
1791,421,5,12,3,358,31,1,1,9,2
1792,591,5,11,0,513,47,0,0,12,4
1793,705,9,14,9,599,46,4,3,18,3
1794,626,4,21,9,518,38,5,2,23,6
1795,536,5,16,3,471,19,4,0,18,2
1796,633,11,33,4,524,26,1,1,18,15
1797,554,8,14,6,462,24,1,0,25,15
1798,597,11,20,14,499,18,1,1,22,11
1799,586,9,19,5,485,40,3,0,16,10
1800,837,11,26,5,747,31,1,0,13,3
1801,835,7,21,6,743,30,3,2,19,4
1802,913,4,14,4,814,56,2,1,15,5
1803,745,9,22,10,645,22,9,3,16,9
1804,599,10,8,6,518,20,3,1,24,10
1805,727,9,22,12,627,18,1,1,19,16
1806,658,3,14,6,582,20,1,0,20,12
1807,743,14,19,6,656,14,6,1,17,11
1808,775,7,7,7,702,27,4,0,12,9
1809,928,9,19,12,833,22,10,1,10,12
1810,912,7,12,12,804,39,7,1,11,19
1811,926,15,24,12,789,38,6,2,21,19
1812,1030,10,50,8,879,41,5,0,21,16
1813,1079,11,75,7,890,46,5,3,35,9
1814,1080,17,68,11,905,39,11,2,14,13
1815,1144,12,47,11,983,50,8,2,18,12
1816,1322,14,23,7,1145,86,5,0,31,11
1817,1600,15,39,9,1401,74,6,0,47,10
1818,1580,13,78,5,1379,46,6,2,42,9
1819,1587,10,51,13,1414,40,9,4,32,12
1820,1548,8,64,10,1352,73,8,2,24,8
1821,1360,10,46,10,1196,55,9,0,19,15
1822,1537,15,9,17,1382,46,12,1,35,22
1823,1511,17,10,11,1398,27,11,2,11,30
1824,1688,15,17,4,1575,29,6,4,28,11
1825,1803,25,18,18,1653,33,8,1,25,22
1826,2141,30,13,18,1967,61,9,2,17,25
1827,2214,20,17,10,2059,58,7,0,25,20
1828,2245,22,23,28,2060,56,18,1,16,21
1829,2105,20,21,16,1952,33,9,2,27,26
1830,2112,17,20,16,1984,20,12,2,27,17
1831,2206,15,16,20,2060,31,15,2,23,28
1832,2401,27,22,9,2253,30,12,0,42,9
1833,1491,15,29,21,1312,35,22,1,49,10
1834,1734,23,34,20,1556,26,18,1,38,22
1835,2238,28,89,28,1938,18,32,1,51,54
1836,2462,22,78,39,2145,39,32,4,58,47
1837,2527,22,69,58,2190,30,33,0,98,29
1838,2718,32,77,51,2329,22,49,5,115,39
1839,2822,26,55,57,2435,21,79,1,103,50
1840,2702,20,62,32,2343,14,80,0,101,57
1841,2791,24,61,33,2412,14,90,3,95,60
1842,3090,21,51,55,2655,39,74,1,127,76
1843,3100,23,89,55,2637,19,111,1,150,21
1844,2509,31,77,52,2065,20,104,9,115,36
1845,2196,33,84,58,1739,24,109,1,120,35
1846,2188,35,81,61,1721,43,123,9,99,20
1847,2582,45,108,66,2032,40,121,3,159,29
1848,2426,28,152,63,1841,53,131,4,138,26
1849,1991,36,96,51,1507,29,125,6,126,23
1850,1959,31,109,54,1460,39,97,5,150,23
1851,1799,40,171,66,1215,45,99,9,145,16
1852,1079,33,235,33,547,19,75,5,122,16
1853,1135,29,232,27,599,26,68,2,140,19
1854,1233,28,280,34,646,22,61,11,136,22
1855,962,31,169,25,502,31,53,5,139,15
1856,1108,28,177,30,580,52,78,10,145,18
1857,1117,34,210,45,541,54,94,10,123,16
1858,1029,33,236,45,490,47,54,6,110,16
1859,972,32,204,41,439,46,71,7,118,18
1860,902,22,184,41,441,29,64,7,97,22
1861,949,37,192,43,438,42,51,9,118,22
1862,1160,54,178,55,532,73,96,13,138,28
1863,1173,49,163,66,570,63,86,22,137,23
1864,1011,43,167,45,449,72,111,8,98,25
